,nationality,year,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
103,Mexican,2017.0,5.0,3.5243513774280433,8.45,3.347819400272677,0.0,0.0,0.0
104,Mexican,2018.0,2.9523809523809526,4.030833542534229,11.761904761904763,4.0853979231497375,0.0,0.0,0.0
105,Mexican,2019.0,2.4761904761904763,3.0102997794081507,11.571428571428571,4.213922502507949,0.0,0.0,0.0
106,Mexican,2020.0,8.333333333333334,6.8729975438737965,8.866666666666667,4.437931736207543,0.13333333333333333,0.3518657752744984,2.0
107,Mexican,2021.0,8.636363636363637,6.945676658355487,4.0,4.15187851918806,0.7727272727272727,0.4289320272288885,17.0
108,Mexican,2022.0,13.227272727272727,7.190813042194339,5.0,5.052109413285655,1.0,0.7559289460184544,22.0
109,Monegasque,2018.0,1.8571428571428572,2.7071334338320723,11.571428571428571,5.362568680878862,0.0,0.0,0.0
110,Monegasque,2019.0,12.571428571428571,6.8086079970242706,4.619047619047619,4.737891835787204,0.8095238095238095,0.9807674351775562,17.0
111,Monegasque,2020.0,5.764705882352941,6.290165059089326,10.411764705882353,5.545931205954188,0.0,0.0,0.0
112,Monegasque,2021.0,7.2272727272727275,5.236609391779944,6.363636363636363,3.579644230067118,0.0,0.0,0.0
113,Monegasque,2022.0,13.227272727272727,7.708571717385649,4.409090909090909,3.290087434199177,2.4545454545454546,0.6709817063202622,54.0
114,New Zealander,2017.0,0.0,0.0,15.25,4.9916597106239795,0.0,0.0,0.0
115,New Zealander,2018.0,0.19047619047619047,0.511766315719159,12.523809523809524,5.7499482399326665,0.0,0.0,0.0
116,Polish,2019.0,0.047619047619047616,0.21821789023599236,18.333333333333332,2.1756225162774285,0.0,0.0,0.0
117,Polish,2021.0,0.0,0.0,13.0,1.4142135623730951,0.0,0.0,0.0
118,Russian,2012.0,0.0,0.0,16.4,4.2102631496705385,0.0,0.0,0.0
